,Unnamed: 0,city,neighborhood,redfin_lat,redfin_lng,month,sale_price,homes_sold,new_listings,days_on_market,index,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,capacity,divvy_lat,divvy_lng,name,count
101,45,"Chicago, IL ",Irving Park,41.9538222,-87.7192875,Aug-19,347.0,212,245,55,582,1576804521,6,0,5,0,0,640,11,41.949923,-87.713949,Bernard St & Elston Ave,9
102,50,"Chicago, IL ",Kenwood,41.8094772,-87.59326639999998,Aug-19,260.0,63,80,66,245,1576801139,7,0,8,0,0,267,15,41.809443,-87.591875,Lake Park Ave & 47th St,3
103,50,"Chicago, IL ",Kenwood,41.8094772,-87.59326639999998,Aug-19,260.0,63,80,66,376,1576802725,7,0,8,0,0,413,15,41.81409271,-87.59700515,Woodlawn Ave & Lake Park Ave,3
104,50,"Chicago, IL ",Kenwood,41.8094772,-87.59326639999998,Aug-19,260.0,63,80,66,379,1576666550,8,0,7,0,0,416,15,41.805772,-87.592464,Dorchester Ave & 49th St,3
105,51,"Chicago, IL ",Lake View,41.9397814,-87.65892729999999,Aug-19,407.0,659,700,62,117,1576801763,3,0,12,0,0,131,15,41.939365,-87.668385,Lincoln Ave & Belmont Ave,10
106,51,"Chicago, IL ",Lake View,41.9397814,-87.65892729999999,Aug-19,407.0,659,700,62,137,1576804188,18,0,1,0,0,153,19,41.935733,-87.663576,Southport Ave & Wellington Ave,10
107,51,"Chicago, IL ",Lake View,41.9397814,-87.65892729999999,Aug-19,407.0,659,700,62,138,1576801631,6,2,7,0,0,154,15,41.93949,-87.66378,Southport Ave & Belmont Ave,10
108,51,"Chicago, IL ",Lake View,41.9397814,-87.65892729999999,Aug-19,407.0,659,700,62,140,1576804352,8,0,7,0,0,157,15,41.93668845,-87.63682902,Lake Shore Dr & Wellington Ave,10
109,51,"Chicago, IL ",Lake View,41.9397814,-87.65892729999999,Aug-19,407.0,659,700,62,209,1576802805,10,0,9,0,0,229,19,41.943739,-87.66402,Southport Ave & Roscoe St,10
110,51,"Chicago, IL ",Lake View,41.9397814,-87.65892729999999,Aug-19,407.0,659,700,62,210,1576804261,6,0,13,0,0,230,19,41.94334,-87.67097,Lincoln Ave & Roscoe St,10
111,51,"Chicago, IL ",Lake View,41.9397814,-87.65892729999999,Aug-19,407.0,659,700,62,214,1576803712,5,0,14,0,0,234,19,41.961588,-87.666036,Clark St & Montrose Ave,10
112,51,"Chicago, IL ",Lake View,41.9397814,-87.65892729999999,Aug-19,407.0,659,700,62,225,1576804682,2,0,9,0,0,246,11,41.956057,-87.668835,Ashland Ave & Belle Plaine Ave,10
113,51,"Chicago, IL ",Lake View,41.9397814,-87.65892729999999,Aug-19,407.0,659,700,62,229,1576802489,11,0,8,0,0,250,19,41.936083,-87.66980699999999,Ashland Ave & Wellington Ave,10
114,51,"Chicago, IL ",Lake View,41.9397814,-87.65892729999999,Aug-19,407.0,659,700,62,291,1576797107,2,0,13,0,0,314,15,41.957921,-87.673567,Ravenswood Ave & Berteau Ave,10
115,52,"Chicago, IL ",Lake View East,41.9399723,-87.6492748,Aug-19,283.0,343,362,64,101,1576801668,6,1,16,0,0,115,23,41.936265999999996,-87.652662,Sheffield Ave & Wellington Ave,16
116,52,"Chicago, IL ",Lake View East,41.9399723,-87.6492748,Aug-19,283.0,343,362,64,103,1576803692,2,0,25,0,0,117,27,41.94018,-87.65304,Wilton Ave & Belmont Ave,16
117,52,"Chicago, IL ",Lake View East,41.9399723,-87.6492748,Aug-19,283.0,343,362,64,148,1576804290,4,0,19,0,0,165,23,41.95078,-87.659172,Clark St & Grace St,16
118,52,"Chicago, IL ",Lake View East,41.9399723,-87.6492748,Aug-19,283.0,343,362,64,206,1576804347,9,1,5,0,0,226,15,41.939743,-87.658865,Racine Ave & Belmont Ave,16
119,52,"Chicago, IL ",Lake View East,41.9399723,-87.6492748,Aug-19,283.0,343,362,64,212,1576803581,2,1,20,0,0,232,23,41.949275,-87.646303,Pine Grove Ave & Waveland Ave,16
120,52,"Chicago, IL ",Lake View East,41.9399723,-87.6492748,Aug-19,283.0,343,362,64,219,1576804312,1,0,26,0,0,240,27,41.954245,-87.65440600000001,Sheridan Rd & Irving Park Rd,16
121,52,"Chicago, IL ",Lake View East,41.9399723,-87.6492748,Aug-19,283.0,343,362,64,233,1576804213,5,0,10,0,0,254,15,41.954383,-87.648043,Pine Grove Ave & Irving Park Rd,16
122,52,"Chicago, IL ",Lake View East,41.9399723,-87.6492748,Aug-19,283.0,343,362,64,235,1576803148,6,0,9,0,0,256,15,41.952833,-87.64999300000001,Broadway & Sheridan Rd,16
123,52,"Chicago, IL ",Lake View East,41.9399723,-87.6492748,Aug-19,283.0,343,362,64,273,1576802281,2,0,17,0,0,296,19,41.940106,-87.645451,Broadway & Belmont Ave,16
